Chemical_Substance,HF298 (kJ/mol),Uncertainty (kJ/mol),Coefficient_1 (High-temperature; T in Kelvin),Coefficient_2 (High-temperature; T in Kelvin),Coefficient_3 (High-temperature; T in Kelvin),Coefficient_4 (High-temperature; T in Kelvin),Coefficient_5 (High-temperature; T in Kelvin),Coefficient_6 (High-temperature; T in Kelvin),Coefficient_7 (High-temperature; T in Kelvin),Coefficient_1 (Low-temperature; T in Kelvin),Coefficient_2 (Low-temperature; T in Kelvin),Coefficient_3 (Low-temperature; T in Kelvin),Coefficient_4 (Low-temperature; T in Kelvin),Coefficient_5 (Low-temperature; T in Kelvin),Coefficient_6 (Low-temperature; T in Kelvin),Coefficient_7 (Low-temperature; T in Kelvin),Reference_Code,References,References_for_Additional_Information
C4H8S2,-10.0,NaN,1.37583597E+01,2.38041270E-02,-8.65896154E-06,1.40951445E-09,-8.48640095E-14,-7.81751735E+03,-4.84750572E+01,1.60889846E+00,3.27014397E-02,4.42707028E-05,-8.76314400E-08,3.92785746E-11,-3.37238305E+03,1.99277613E+01,T,DOROFEEVA & GURVICH JPCRD 24 (1995) 1351,No Additional Information Provided
C4H9,52.04,NaN,6.72557390E+00,2.53649194E-02,-9.05306262E-06,1.45474620E-09,-8.67934112E-14,2.57430692E+03,-8.89920414E+00,6.45910754E+00,-1.02015930E-02,1.06310577E-04,-1.25717030E-07,4.75543216E-11,4.43420391E+03,1.30648608E+00,T,NaN,REF=TSANG JPCRD 19;(1990); 1-68.
C4H9N,-3.59,0.80 ,0.91914472E+01,0.27301993E-01,-0.98874802E-05,0.16049052E-08,-0.96462592E-13,-0.59280463E+04,-0.26546544E+02,0.55475933E+01,-0.20299796E-01,0.17343060E-03,-0.21528524E-06,0.84721240E-10,-0.23303304E+04,0.56593427E+01,T,DAS ET. AL JPCRD 22 (1993)  659,No Additional Information Provided
C4H9NO2,-143.93,NaN,1.27918861E+01,2.96302599E-02,-1.10618131E-05,1.81914243E-09,-1.10094356E-13,-2.40186756E+04,-4.05022397E+01,4.50296897E+00,1.41859282E-02,9.14552906E-05,-1.29431188E-07,5.23563809E-11,-1.98606730E+04,1.15748426E+01,T,STEIN  NIST 94,No Additional Information Provided
C4H9O,-235.768,NaN,1.21336180E+01,2.43954328E-02,-9.04409323E-06,1.48350965E-09,-8.96467065E-14,-1.29883091E+04,-3.89685328E+01,5.61984431E+00,2.12772932E-03,1.02679749E-04,-1.34097807E-07,5.25493048E-11,-9.21442557E+03,4.46683857E+00,A,BURCAT G3B3,4
C4H9O2,-102.97,15. ,1.38099210E+01,2.37496067E-02,-8.42862219E-06,1.34570534E-09,-7.98783159E-14,-1.87367759E+04,-4.65324829E+01,4.55297174E+00,2.41748992E-02,5.52718373E-05,-9.49679000E-08,4.13649243E-11,-1.51365186E+04,6.88006921E+00,T,PM3 + WANG  THERGAS ROUGH ESTIMATE.  .,No Additional Information Provided
C4H10,-134.648,0.63 ,9.76991697E+00,2.54997141E-02,-9.14142587E-06,1.47328201E-09,-8.80799697E-14,-2.14052667E+04,-3.00329670E+01,4.45479140E+00,8.26058864E-03,8.29886433E-05,-1.14647616E-07,4.64569994E-11,-1.84593929E+04,4.92740653E+00,g,CHEN  WILHOIT & ZWOLINSKI THERMOCHIM ACTA 10 (1974) 359,REF=ATCT A
C4FH10O2P,-963.157,40.04088 ,0.18578606E+02,0.30137329E-01,-0.10920099E-04,0.17729267E-08,-0.10654834E-12,-0.12429242E+06,-0.68579536E+02,0.52448929E+01,0.45868801E-01,0.21805453E-04,-0.61857475E-07,0.28400543E-10,-0.11952678E+06,0.55156043E+01,T,C.MELIUS DATABASE BACMP4,No Additional Information Provided
C4H10N2,32.058,NaN,1.04879953E+01,3.14741038E-02,-1.12833865E-05,1.81933575E-09,-1.08829314E-13,-2.32285856E+03,-3.70632811E+01,3.22862722E+00,3.00564238E-03,1.30125796E-04,-1.73154524E-07,6.91836772E-11,1.91930968E+03,1.18480207E+01,A,BURCAT G3B3 CALC,.
C4H10O,-312.63,NaN,0.12195905E+02,0.25213437E-01,-0.89531088E-05,0.14332117E-08,-0.85400239E-13,-0.43495400E+05,-0.39715527E+02,0.41048907E+01,0.23022720E-01,0.53016433E-04,-0.87928571E-07,0.37588572E-10,-0.40159890E+05,0.77499347E+01,T,CHAO ET. AL  JCPRD 15  (1986)  1369,No Additional Information Provided
C4H10O2,-247.78,10 ,1.46292637E+01,2.51457268E-02,-8.80947061E-06,1.39841089E-09,-8.27380629E-14,-3.64714576E+04,-5.20089703E+01,3.08440835E+00,3.82884213E-02,2.86328998E-05,-7.10015659E-08,3.32770291E-11,-3.25506989E+04,1.16695693E+01,T,PM3 + WANG  THERGAS,REF=KOZLOV & RABINOVICH TR KHIM KHIM TEKHNOL. (1964) 189-193
C4H12NS,-20.502,4.2 ,1.38790401E+01,2.92000977E-02,-1.04178179E-05,1.67323152E-09,-9.97829904E-14,-8.81907052E+03,-4.02553679E+01,6.19363827E+00,3.87714034E-02,5.88990229E-06,-3.20231048E-08,1.54029293E-11,-6.03168664E+03,2.46477535E+00,A,ALLENDORF & MELIUS JPC A 109(2005) 4939,No Additional Information Provided
C4N2,529.2,0.8 ,1.04153519E+01,5.71823954E-03,-2.12579288E-06,3.50943265E-10,-2.13327917E-14,6.00000379E+04,-2.67166250E+01,2.17476309E+00,4.76126863E-02,-8.98016589E-05,8.41509508E-08,-2.97993323E-11,6.15242900E+04,1.16619961E+01,g,KHANNA ET AL SPECTRO- CHIM ACTA 43A (1987) 421 & BROWN ET AL JPC 93(1989) 5679  TRC 12/93,No Additional Information Provided
C5,1050.92,NaN,9.57455603E+00,3.86017176E-03,-1.47557854E-06,2.48048107E-10,-1.52659550E-14,1.23054088E+05,-2.37138042E+01,3.35869799E+00,3.24352369E-02,-5.93062255E-05,5.60118909E-08,-2.03076689E-11,1.24376816E+05,6.04923346E+00,g,GURVICH 1991.,No Additional Information Provided
C5F12,-2543.286,NaN,0.36667427E+02,0.11143649E-01,-0.46707310E-05,0.86434283E-09,-0.58866364E-13,-0.31952055E+06,-0.15059131E+03,0.41651260E+00,0.12785646E+00,-0.14464730E-03,0.74809522E-07,-0.14534599E-10,-0.31055833E+06,0.32067147E+02,T,NaN,No Additional Information Provided
C5H,NaN,NaN,0.86957493E+01,0.60543008E-02,-0.20160105E-05,0.28928926E-09,-0.14700995E-13,0.90310687E+05,-0.21029110E+02,0.16348248E+01,0.25095381E-01,-0.12066364E-04,-0.10465111E-07,0.88099883E-11,0.92124875E+05,0.15135100E+02,T,DUFF & BAUER  . .,No Additional Information Provided
C5H2,NaN,NaN,0.11329175E+02,0.74240565E-02,-0.26281887E-05,0.40825410E-09,-0.23013326E-13,0.78787062E+05,-0.36184340E+02,0.30623217E+01,0.27099982E-01,-0.10091697E-04,-0.12727451E-07,0.91672191E-11,0.81149687E+05,0.70842413E+01,T,DUFF & BAUER  .. KCAL,No Additional Information Provided
C5Cl2H2O,-12.17,NaN,1.57844051E+01,1.13161217E-02,-4.17819275E-06,6.87366689E-10,-4.17039260E-14,-7.74449233E+03,-5.36347657E+01,1.25636860E+00,5.24381406E-02,-4.28285490E-05,1.08399553E-08,1.86208134E-12,-3.81291739E+03,2.10643718E+01,T,JANOSCHEK J. MOL.STRUCT 661-2 (2003) 635,No Additional Information Provided
C5Cl3H2,152.68,NaN,1.68990170E+01,1.02613023E-02,-3.78469676E-06,6.22286260E-10,-3.77437852E-14,1.18158638E+04,-5.72327613E+01,1.95135592E+00,5.38396460E-02,-4.68814466E-05,1.40727391E-08,9.77870650E-13,1.57742002E+04,1.92546669E+01,T,JANOSCHEK J. MOL.STRUCT 661-2 (2003) 635 .,No Additional Information Provided
C5H3,564.61,43.095200000000006 ,0.11453917E+02,0.92730586E-02,-0.33071124E-05,0.53138989E-09,-0.31710350E-13,0.63604544E+05,-0.32238569E+02,-0.32458342E-01,0.59449660E-01,-0.93606717E-04,0.76931684E-07,-0.24822627E-10,0.65960596E+05,0.22810663E+02,T,SANDIA BAC/MP4 DATABASE BY C. MELIUS  PRIVATE COMMU,No Additional Information Provided
C5Cl3H3O,-104.72,NaN,1.97505887E+01,1.23107559E-02,-4.45238080E-06,7.22906086E-10,-4.34762350E-14,-2.01911038E+04,-7.16503477E+01,4.45787154E-01,7.64329241E-02,-8.51510547E-05,4.54054089E-08,-8.84467176E-12,-1.54582149E+04,2.52357971E+01,T,JANOSCHEK FABIAN J MOL STRUCT 661/2 (2003) 635,No Additional Information Provided
C5H3N,416.3,NaN,1.12214716E+01,1.21359183E-02,-4.33358316E-06,6.96955569E-10,-4.16178238E-14,4.63247595E+04,-3.05570137E+01,1.68494050E+00,4.34233565E-02,-4.45293097E-05,2.43654701E-08,-5.26531282E-12,4.87437574E+04,1.75458535E+01,A,BURCAT G3B3 CALC,REF=MACKIE & COLKET 22 COMB. SYMP. 1990
C5H4,399.572,NaN,9.31656215E+00,1.37165199E-02,-4.87209640E-06,7.80513961E-10,-4.64725769E-14,4.56259628E+04,-2.31942358E+01,2.12483066E+00,3.62486885E-02,-3.30843646E-05,1.74658596E-08,-3.85998715E-12,4.75470659E+04,1.34500476E+01,A,BURCAT G3B3 CALC,REF=NIST 91
C5H4N,383.254,NaN,1.03712938E+01,1.59574619E-02,-5.80322295E-06,9.44993706E-10,-5.69257795E-14,4.37175356E+04,-3.13526019E+01,1.38066475E+00,1.47207328E-02,6.04123921E-05,-9.62107504E-08,4.11105614E-11,4.73100961E+04,2.09747610E+01,A,BURCAT G3B3 CALC QCISD/SCF,; REF=KIEFER ZHANG ET AL JPC A 101;(1997);7061 ; REF=NIST 94
C5H4O,55.229,NaN,1.00806824E+01,1.61143465E-02,-5.83314509E-06,9.46759320E-10,-5.68972206E-14,1.94364771E+03,-2.94521623E+01,2.64576497E-01,3.34873827E-02,1.67738470E-06,-2.96207455E-08,1.54431476E-11,5.11159287E+03,2.35409513E+01,T,(IN PARENTHESIS EXPERIM. M. JACOX JPCRD 19 (1990) 1532) + WANG & BREZINSKY JPC-A 102 (1998) 1530.,No Additional Information Provided
C5H4O2,-129.788,NaN,1.23494140E+01,1.64232866E-02,-5.96752256E-06,9.70925018E-10,-5.84449615E-14,-1.81142267E+04,-3.38091251E+01,3.71974617E+00,2.85214829E-02,8.94530795E-06,-3.30625737E-08,1.55936947E-11,-1.51266538E+04,1.36793612E+01,A,BURCAT G3B3 CALC.,REF=ZHONG & BOZZELLI JPC-A 102 (1998); 3537
C5H5,266.1,NaN,0.10844072E+02,0.15392831E-01,-0.55630422E-05,0.90189440E-09,-0.54156619E-13,0.26950886E+05,-0.35254983E+02,-0.95902849E+00,0.31396777E-01,0.26724050E-04,-0.68942183E-07,0.33301983E-10,0.30779441E+05,0.29072780E+02,T,AB-INITIO CALC KARNI O & BURCAT JPCRD 20 (1991)  665,No Additional Information Provided
C5H5N,140.37,0.54 ,0.10737274E+02,0.18411346E-01,-0.67089960E-05,0.10937092E-08,-0.65928113E-13,0.11511982E+05,-0.35580435E+02,0.12333682E+01,0.14084676E-01,0.73775044E-04,-0.11405870E-06,0.48433017E-10,0.15439523E+05,0.20414274E+02,T,DAS ET AL. 1993,No Additional Information Provided
C5H5O,59.8,NaN,0.12606535E+02,0.16747067E-01,-0.61097587E-05,0.99674576E-09,-0.60111834E-13,0.14114657E+04,-0.42604911E+02,0.23043601E+00,0.32322572E-01,0.28900908E-04,-0.70680613E-07,0.33407174E-10,0.55554724E+04,0.25330946E+02,T,NaN,No Additional Information Provided
C5H5O2,-83.638,NaN,1.46629817E+01,1.65541793E-02,-6.29149065E-06,1.11259736E-09,-7.44617493E-14,-1.63990894E+04,-4.40514968E+01,-3.53400779E+00,8.32842318E-02,-1.14653205E-04,9.02774159E-08,-2.94687646E-11,-1.18588987E+04,4.67266279E+01,T,ZHONG & BOZZELLI JPC-A 102 (1998)  3537. .,No Additional Information Provided
C5H6,134.3,NaN,0.99757848E+01,0.18905543E-01,-0.68411461E-05,0.11099340E-08,-0.66680236E-13,0.11081693E+05,-0.32209454E+02,0.86108957E+00,0.14804031E-01,0.72108895E-04,-0.11338055E-06,0.48689972E-10,0.14801755E+05,0.21353453E+02,T,DOROFEEVA  GURVICH & JORISH JPCRD 15  (1986) 437.  FROM PEDLEY  NAYLOR AND KIRBY. .,No Additional Information Provided
C5H6N2,117.152,0.8368000000000001 ,0.13806658E+02,0.20732346E-01,-0.74781249E-05,0.12110605E-08,-0.72674834E-13,0.78210347E+04,-0.50686216E+02,-0.37783801E+00,0.42946164E-01,0.15869990E-04,-0.59636577E-07,0.29397526E-10,0.12433786E+05,0.26323931E+02,T,C.MELIUS DATABASE BACMP4 PF11 BINKERTON PILCHER AL-TAKHIN J.CHEM.THERMODYN 16 (1984) 373,No Additional Information Provided
C5H6O,-27.2,NaN,0.12734997E+02,0.18582251E-01,-0.67050926E-05,0.10859592E-08,-0.65165720E-13,-0.91625548E+04,-0.44227527E+02,-0.84687145E-01,0.36826867E-01,0.22761297E-04,-0.65709925E-07,0.31839396E-10,-0.49692504E+04,0.25639055E+02,T,NaN,No Additional Information Provided
C5H7,166.88,NaN,9.74013709E+00,2.15079576E-02,-7.71169114E-06,1.24352828E-09,-7.43887470E-14,1.56355223E+04,-2.89664925E+01,2.31203194E+00,7.01023600E-03,9.35725543E-05,-1.33744658E-07,5.55553794E-11,1.91721662E+04,1.72892593E+01,A,BURCAT G3B3 CALC,REF=THERM
C5ClH7,53.555,NaN,1.30978247E+01,1.98955652E-02,-7.14299948E-06,1.14829942E-09,-6.84572130E-14,1.12151286E+03,-3.78578820E+01,4.13048625E+00,2.41562471E-02,4.12699083E-05,-7.66549750E-08,3.40285660E-11,4.45228842E+03,1.30293308E+01,A,BURCAT G3B3 CALC,REF=WEISMANN & BENSON PROG. ENERGY COMB. SCI. 15;(1989);273 ; REF=NIST 94
C5Cl2H7,61.505,NaN,1.70600425E+01,1.75885302E-02,-6.28267330E-06,1.01040123E-09,-6.03280289E-14,6.31476542E+03,-5.14696018E+01,5.23200814E+00,3.31354262E-02,2.66047406E-05,-6.82885772E-08,3.26323749E-11,1.01930845E+04,1.31714456E+01,A,BURCAT G3B3 CALC,REF=WEISMANN & BENSON PROG. ENERGY COMB. SCI. 15;(1989);273
C5H7NO,-108.7,NaN,0.11348162E+02,0.26153783E-01,-0.10147863E-04,0.18274196E-08,-0.12448116E-12,-0.18497976E+05,-0.27546501E+02,0.70321296E+01,0.17114461E-01,0.43753706E-04,-0.64537212E-07,0.25693936E-10,-0.16201998E+05,0.23072915E-01,T,NaN,No Additional Information Provided
C5H7O,39.246,NaN,1.18245290E+01,2.25156780E-02,-8.11965644E-06,1.31442052E-09,-7.88442567E-14,5.47509398E+03,-3.89405519E+01,2.16396289E+00,1.45387805E-02,8.65448177E-05,-1.31349889E-07,5.55584547E-11,9.60790169E+03,1.87490468E+01,A,G3B3 CALC,REF=THERM THERGAS ; ; ; L
C5H8,33.9,NaN,9.64282423E+00,2.42562834E-02,-8.72089503E-06,1.41190868E-09,-8.47267848E-14,-1.29253168E+03,-3.01225606E+01,2.68980514E+00,2.09635533E-03,1.13034459E-04,-1.54077581E-07,6.27623564E-11,2.45828931E+03,1.53075040E+01,g,DOROFEEVA GURVICH & JORISH JPCRD 15 (1986) 437. DATA EXTRAPOLATED USING WILHOIT POLYNOMIALS.  TRC OCT 1992. .,No Additional Information Provided
C5ClH8,37.81,NaN,1.43282670E+01,2.08391545E-02,-7.49363944E-06,1.20797259E-09,-7.21763267E-14,1.27012428E+04,-4.22055222E+01,3.44156454E+00,3.48300144E-02,2.10910844E-05,-5.81094559E-08,2.75563709E-11,1.63679217E+04,1.75792716E+01,A,BURCAT G3B3 CALC,3
C5H8N4O12,-387.02,NaN,4.20349983E+01,4.16412378E-02,-1.62923542E-05,2.75856914E-09,-1.70123449E-13,-6.48342117E+04,-1.86444303E+02,1.01315796E+01,7.43819642E-02,7.88205030E-05,-1.68073189E-07,7.47114699E-11,-5.32738211E+04,-8.13692751E+00,T,C. MELIUS DATABASE BACMP22  COX & PILCHER 1970,No Additional Information Provided
C5H8O,-197.4, 1.3 ,1.18281325E+01,2.54559875E-02,-9.23804811E-06,1.50152136E-09,-9.03124493E-14,-2.99197006E+04,-4.10040646E+01,2.19956938E+00,1.63298815E-02,8.59366418E-05,-1.28808609E-07,5.37997972E-11,-2.56534705E+04,1.70106368E+01,T,NIST 2000 IR + B3PW91/6-31G  WIBERG  CROCKER & MORGAN JACS 113 (1991) 3447-3450.,9
C5H9,80.751,NaN,1.22463353E+01,2.32449977E-02,-8.31633552E-06,1.33604189E-09,-7.97458897E-14,6.42198786E+03,-3.90954303E+01,3.71721393E+00,2.27270396E-02,4.82587229E-05,-7.99696495E-08,3.36979666E-11,9.92261584E+03,1.07095507E+01,A,BURCAT G3B3 CALC,REF=NIST-94
C5H9N,75.312,8.368 ,0.11833534E+02,0.28098151E-01,-0.10182947E-04,0.16536607E-08,-0.99405120E-13,0.26418000E+04,-0.46192454E+02,0.17693067E+01,0.16923937E-01,0.94000576E-04,-0.13916857E-06,0.57777745E-10,0.71954216E+04,0.14882677E+02,T,SIDHU ET. AL.  1991  ESTIMATED USING BENSONS GROUP ADDITIVITY.,No Additional Information Provided
C5H10,-77.1,NaN,9.13283832E+00,3.01131089E-02,-1.09169275E-05,1.77298877E-09,-1.06575265E-13,-1.50033856E+04,-2.92612779E+01,3.70339048E+00,-1.15575222E-02,1.64113330E-04,-2.09369707E-07,8.31059426E-11,-1.09388708E+04,1.19772908E+01,g,DOROFEEVA GURVICH & JORISH JPCRD 15 (1986) 437  TRC OCT. 1990 .,No Additional Information Provided
C5H10O,-224.283,NaN,1.02912978E+01,3.19376979E-02,-1.15141841E-05,1.86329429E-09,-1.11732195E-13,-3.31402099E+04,-3.53317739E+01,3.76713473E+00,-9.00843898E-04,1.38345597E-04,-1.79983389E-07,7.12378755E-11,-2.89582868E+04,1.04223588E+01,A,BURCAT G3B3 CALC,REF=STULL WESTRUM & SINKE 1969
C5H11,32.6,4 ,9.23108985E+00,3.11689026E-02,-1.12478717E-05,1.82090758E-09,-1.09205406E-13,-1.60063335E+03,-2.06135904E+01,6.44628584E+00,-9.54231607E-03,1.37892083E-04,-1.69241994E-07,6.53097634E-11,1.50839319E+03,5.43062020E+00,g,WING TSANG JACS (1985) P.2872 .,No Additional Information Provided
C5H11NO2,-164.431,NaN,1.59382106E+01,3.48884183E-02,-1.29633850E-05,2.12755256E-09,-1.28618354E-13,-2.80406921E+04,-5.83080492E+01,4.00703926E+00,2.29727394E-02,1.04023119E-04,-1.55573589E-07,6.44328697E-11,-2.26341947E+04,1.39586649E+01,T,NIST 97 WEBBOOK  BURCAT TAE,No Additional Information Provided
C5H12,-167.92,NaN,8.20556617E+00,3.91429094E-02,-1.34755411E-05,2.09281432E-09,-1.21719082E-13,-2.52830248E+04,-2.33002317E+01,-1.14339730E-01,5.26841774E-02,-6.21509048E-06,-2.28700893E-08,1.23593718E-11,-2.24093954E+04,2.22008439E+01,P,NaN,No Additional Information Provided
C5H12O,-293.8,NaN,1.33868819E+01,3.29283214E-02,-1.18027402E-05,1.90207547E-09,-1.13712190E-13,-4.07919507E+04,-4.60060101E+01,4.24395629E+00,3.82110434E-02,2.49992458E-05,-5.45089669E-08,2.33555478E-11,-3.71488062E+04,6.40373322E+00,T,NIST 2000  WEBBOOK  IR IN PARENTHESIS AND GAUSSIAN 98 B3LYP/6-31G  TRC-83,REF=NIST 94 ; REF=PEDLY & RYLANCE 1977
C6,314.0,NaN,1.09690747E+01,5.40080233E-03,-2.05587055E-06,3.44673440E-10,-2.11743818E-14,1.54041379E+05,-2.89517984E+01,3.01754669E+00,3.79181685E-02,-6.06833596E-05,5.23078196E-08,-1.79226696E-11,1.55866233E+05,9.92611478E+00,A,VAN-ORDEN & SAYKALLY CHEM REV 98 (1998) 2313,No Additional Information Provided
C6Cl6,-33.89,NaN,0.25828477E+02,0.83148412E-02,-0.33076208E-05,0.57000698E-09,-0.35641306E-13,-0.13505569E+05,-0.99653026E+02,0.46643307E+01,0.79424296E-01,-0.98554390E-04,0.61217228E-07,-0.15381401E-10,-0.82398803E+04,0.66783480E+01,T,NaN,No Additional Information Provided
C6F6,-956.63,NaN,2.33186087E+01,1.07562779E-02,-4.17044638E-06,7.07443606E-10,-4.38074922E-14,-1.23931487E+05,-9.30677826E+01,1.97866627E+00,8.21868402E-02,-1.03031945E-04,6.88636763E-08,-1.94291617E-11,-1.18514980E+05,1.44710988E+01,T,MELIUS DATABASE Q9X  STULL WESTRUM & SINKE,No Additional Information Provided
C6F14,-2949.176,NaN,0.44067386E+02,0.12770763E-01,-0.53399367E-05,0.95791650E-09,-0.61923975E-13,-0.37074786E+06,-0.18473799E+03,-0.14298519E+02,0.24055087E+00,-0.34353654E-03,0.22553364E-06,-0.55889775E-10,-0.35851817E+06,0.98855981E+02,T,NaN,No Additional Information Provided
C6H,1037.632,NaN,0.11361786E+02,0.75157820E-02,-0.27216114E-05,0.43917513E-09,-0.26217995E-13,0.12080112E+06,-0.29989833E+02,0.10110111E+01,0.59781961E-01,-0.10773934E-03,0.96196601E-07,-0.32681317E-10,0.12261638E+06,0.17998104E+02,T,BAUER & DUFF AND BURCAT (UNPUB).  KIEFER  SIDHU  KERN  XIE  CHEN  HARDING 1992.,No Additional Information Provided
C6H2,-293.8,NaN,0.12532801E+02,0.87766321E-02,-0.31329616E-05,0.50371820E-09,-0.30071921E-13,0.79784338E+05,-0.38858580E+02,-0.54109216E+00,0.74532628E-01,-0.13578252E-03,0.12226630E-06,-0.41825207E-10,0.82115132E+05,0.21882710E+02,T,BJARNOV  CHRISTIANSEN & NIELSEN SPECTROCHIM ACTA 20A (1974)  1255.  KIEFER  SIDHU  KERN  XIE  CHEN  HARDING 1992,NaN
C6Cl3H2O,-27.48,NaN,2.02798797E+01,1.29194844E-02,-4.81871155E-06,7.97954205E-10,-4.86299607E-14,-1.12907568E+04,-7.45021576E+01,2.39930652E+00,6.22028801E-02,-4.88719347E-05,1.03520477E-08,3.04767726E-12,-6.37525850E+03,1.77969078E+01,T,JANOSCHEK G3MP2B3 CALCULATIONS,No Additional Information Provided
C6Cl3H2O3,28.95,NaN,2.54863454E+01,1.37336374E-02,-5.13874263E-06,8.52778911E-10,-5.20494616E-14,-6.36349755E+03,-1.00915829E+02,8.25960455E-01,8.97046703E-02,-8.89846443E-05,3.66349413E-08,-3.29895819E-12,-3.61540530E+01,2.42683330E+01,T,JANOSCHEK J. MOL.STRUCT 661-2 (2003) 635 .,No Additional Information Provided
C6H3,468.6,NaN,1.07791236E+01,1.29752918E-02,-4.74348788E-06,7.75171464E-10,-4.68121821E-14,8.28078760E+04,-3.23817342E+01,8.25343066E-01,2.54304386E-02,2.14951562E-05,-5.23692607E-08,2.43576096E-11,8.61930921E+04,2.24157823E+01,A,BURCAT G3B3 CALC.,REF=XU;WANG ET AL 6TH INTERNAT CONF CHEM KINET NIST 2005; P56 C6H3A CONFIG
C6Cl3H3O,-189.07,NaN,2.00548095E+01,1.48689736E-02,-5.41339688E-06,8.82942340E-10,-5.32711832E-14,-3.07414767E+04,-7.38666469E+01,1.04736140E+00,7.13669355E-02,-6.63730092E-05,2.75555456E-08,-3.25677598E-12,-2.56905886E+04,2.33240058E+01,T,NIST WEBBOOK 2000 IR DATA +B3LYP/6-31G(D) CALCULATION.  JANOSCHEK J. MOL.STRUCT 661-2 (2003) 635,REF=W.SHAUB THERMOCHIMICA ACTA 58;(1982);11
C6Cl3H3O2,-266.02,NaN,2.30154197E+01,1.51042221E-02,-5.54122582E-06,9.08005114E-10,-5.49482329E-14,-4.23211655E+04,-8.83191815E+01,8.72968514E-02,9.12361582E-02,-1.04155296E-04,5.98780411E-08,-1.36147269E-11,-3.66182071E+04,2.69710455E+01,T,JANOSCHEK J. MOL.STRUCT 661-2 (2003) 635,No Additional Information Provided
C6H3I,534.7,12 ,1.33050435E+01,1.34129920E-02,-4.90406618E-06,8.01426651E-10,-4.83968269E-14,5.86748176E+04,-4.12260115E+01,1.77626967E+00,3.57073993E-02,-1.00289131E-06,-3.05265417E-08,1.66127632E-11,6.22557563E+04,2.04443084E+01,A,BURCAT B3LYP/6-311G  WANG ET AL 6TH INT. CONF CHEM KIN. NIST 2005 P.56,REF= PM3 CALC.
C6H3N3O6,62.342,NaN,2.87195273E+01,2.08056280E-02,-8.03680268E-06,1.35348056E-09,-8.32405765E-14,-3.92148064E+03,-1.15710853E+02,2.18818193E+00,1.02515207E-01,-1.05642628E-04,5.50716150E-08,-1.13737832E-11,3.11892525E+03,1.95711122E+01,T,BURCAT  TAE REPORT  PEDLEY  NAYLOR & KIRBY 1986,No Additional Information Provided
C6H4,327.9,NaN,1.19575424E+01,1.40266572E-02,-4.98340919E-06,7.98638006E-10,-4.75692474E-14,6.24778222E+04,-3.45944009E+01,6.27067962E-01,5.48105471E-02,-6.45567865E-05,4.20781203E-08,-1.12070896E-11,6.51861777E+04,2.17065953E+01,A,BURCAT G3B3 CALC.,REF=THERM APPROXIMATION
C6ClH4,297.022,28.0328 ,1.45027534E+01,1.51288383E-02,-5.54539620E-06,9.07354105E-10,-5.48075943E-14,2.94485822E+04,-5.03741566E+01,-4.60582399E-02,4.47703825E-02,-3.43359616E-06,-3.76582691E-08,2.13062831E-11,3.38418761E+04,2.69429649E+01,S,MELIUS DATABASE A72O .,No Additional Information Provided
C6ClH4O,30.6,NaN,1.53867708E+01,1.69350990E-02,-6.18032414E-06,1.00884274E-09,-6.08772262E-14,-3.05114157E+03,-5.43107079E+01,9.57405366E-01,4.20335440E-02,8.56567765E-06,-4.98052355E-08,2.53381197E-11,1.53738766E+03,2.34806486E+01,T,R. JANOSCHEK J. MOL.STRUCT 661-2 (2003) 635,No Additional Information Provided
C6Cl2H4O,-167.01,NaN,1.73875692E+01,1.70836492E-02,-6.16851985E-06,1.00019896E-09,-6.00885445E-14,-2.73287945E+04,-6.24163609E+01,-4.19895656E-01,6.90164830E-02,-6.00079651E-05,2.21556939E-08,-1.50150715E-12,-2.25418548E+04,2.88886606E+01,T,NIST WEBBOOK 2000 IR+B3LYP  JANOSCHEK J. MOL.STRUCT 661-2  (2003) 635 .,No Additional Information Provided
C6H4I,411.1,NaN,1.35035874E+01,1.58549160E-02,-5.76920884E-06,9.39544809E-10,-5.65700366E-14,4.54058274E+04,-4.27139862E+01,2.03414502E+00,2.89038569E-02,2.97018989E-05,-6.71751371E-08,3.10075057E-11,4.93429522E+04,2.06684955E+01,A,BURCAT B3LYP/6-31G  WANG ET AL 6TH INT. CONF CHEM KIN. NIST 2005 P.56,REF=NIST 94 ; REF=ORLOV ZARIPOV LEBEDEV RUSS CHEM BUL 47;(1998); 621
C6H4I2,242.7,NaN,1.52787357E+01,1.76683769E-02,-6.59041284E-06,1.09072046E-09,-6.64257232E-14,2.24710423E+04,-5.12934236E+01,4.13755327E+00,2.89111692E-02,2.65768114E-05,-5.79087837E-08,2.56642444E-11,2.65388293E+04,1.10745679E+01,A,IR WEBBOOK + [B3LYP/6-311G  LIEBMAN JPCRD SUPPL. 1988  NIST 94  PM3,No Additional Information Provided
C6H4O2,-122.9,NaN,1.43886174E+01,1.81624210E-02,-6.69934678E-06,1.10097880E-09,-6.67372266E-14,-2.12444054E+04,-5.02572901E+01,3.79867882E+00,2.51676569E-02,3.79846917E-05,-7.06777516E-08,3.06126573E-11,-1.72429606E+04,9.80455363E+00,T,IR SPECTRUM NIST WEBBOOK 1997   PEDLEY & NYLOR,No Additional Information Provided
